Iteration	Posterior	Likelihood	Prior	branch_rates	q[1]	q[2]	q[3]	speciation_rate
24200	-706.1762	-689.4354	-16.74074	0.3180106	0.994937	0.000908794	0.00415382	0.00910382
24400	-714.2659	-695.4592	-18.80671	0.300884	0.991903	0.00245055	0.00564645	0.1922771
24600	-707.4709	-689.8237	-17.64723	0.3127952	0.997255	0.00209094	0.000654229	0.08502594
24800	-706.0934	-689.2192	-16.87424	0.3220705	0.996113	0.00289285	0.000994272	0.0171069
25000	-710.1579	-693.0372	-17.12076	0.3053619	0.988245	0.00534934	0.00640609	0.05116866
25200	-708.7968	-691.7048	-17.09199	0.2783978	0.993851	0.0055754	0.0005739	0.0675461
25400	-710.5023	-692.8468	-17.65555	0.3364587	0.997506	0.00110633	0.0013878	0.06838991
25600	-713.1115	-694.8087	-18.30287	0.3038142	0.985327	0.01292	0.00175296	0.1456709
25800	-710.2509	-693.2192	-17.03168	0.3205595	0.993493	0.00484224	0.00166503	0.03053409
26000	-716.5356	-699.0517	-17.48391	0.3288333	0.993472	0.00637572	0.000152685	0.06168517
26200	-712.9695	-695.3046	-17.66487	0.306434	0.995749	0.000222318	0.0040283	0.09194335
26400	-709.1946	-692.6252	-16.56939	0.2730144	0.999302	0.000591011	0.000107275	0.0316955
26600	-713.3548	-695.4441	-17.91064	0.3321795	0.991184	0.00224858	0.00656774	0.09579961
26800	-712.0287	-693.9908	-18.03791	0.3011433	0.990995	0.0049313	0.00407407	0.1265945
27000	-710.313	-694.4154	-15.89755	0.2403125	0.997134	0.00200554	0.000860264	0.003706433
27200	-709.5254	-693.263	-16.26242	0.2787867	0.985703	0.0113102	0.00298688	0.002222377
27400	-711.2233	-693.4613	-17.76203	0.3156241	0.996337	0.00276385	0.000898999	0.09004109
27600	-719.5909	-701.5465	-18.04438	0.3093505	0.989239	0.00815469	0.00260676	0.1260961
27800	-712.8821	-693.722	-19.16007	0.325596	0.989521	0.0102262	0.00025284	0.2060226
28000	-714.5041	-696.9032	-17.60096	0.2904581	0.98981	0.00451208	0.00567802	0.1033671
28200	-708.0544	-691.0807	-16.97363	0.3130977	0.994172	0.00460521	0.00122302	0.03159285
28400	-710.5537	-693.2009	-17.35283	0.2891834	0.997249	0.00143347	0.00131797	0.08092587
28600	-719.5005	-699.6978	-19.80277	0.3179214	0.988028	0.00906891	0.00290347	0.2534861
28800	-709.3166	-691.8712	-17.44535	0.2960065	0.993851	0.00606964	7.96027e-05	0.08449941
29000	-708.5882	-690.104	-18.48419	0.3127916	0.997187	0.0015691	0.00124366	0.1569365
29200	-711.8229	-695.0586	-16.76433	0.3040003	0.996637	0.000164096	0.00319894	0.02182481
29400	-715.3226	-698.246	-17.07662	0.2699907	0.999037	0.000723553	0.000239259	0.07370444
29600	-710.8414	-692.9589	-17.88259	0.3032239	0.993627	0.00536328	0.00100945	0.1113409
29800	-707.8829	-690.4918	-17.39104	0.3033121	0.992289	0.00532984	0.0023811	0.0738705
30000	-714.0162	-697.1624	-16.85378	0.3199403	0.990891	0.00848731	0.00062208	0.01675457
30200	-713.4474	-694.9193	-18.52809	0.2853	0.991108	0.0044525	0.00443993	0.1784579
30400	-712.2159	-695.3778	-16.83814	0.2949333	0.988928	0.00665733	0.00441504	0.03497337
30600	-711.4178	-694.7395	-16.67837	0.2933961	0.991517	0.00839766	8.52101e-05	0.02347005
30800	-716.639	-699.5112	-17.12781	0.3377743	0.992285	0.00027973	0.00743548	0.02531666
31000	-713.0138	-695.4093	-17.60449	0.3271452	0.999173	0.000662419	0.000164158	0.07327791
31200	-710.825	-693.7924	-17.03258	0.3140716	0.987723	0.00370889	0.00856842	0.03596013
31400	-717.2781	-700.1529	-17.12527	0.2648633	0.976906	0.0118143	0.0112793	0.0826463
31600	-709.9003	-693.2028	-16.69746	0.3103545	0.996261	0.00201362	0.0017251	0.01217706
31800	-709.6982	-693.1034	-16.59482	0.3141302	0.994861	0.00401487	0.00112385	0.0005286304
32000	-712.6142	-692.6316	-19.98264	0.2833041	0.995166	0.00367794	0.00115633	0.292996
32200	-711.6868	-694.7133	-16.97354	0.3112029	0.998562	0.000994473	0.000444021	0.03422145
32400	-716.8612	-700.6481	-16.21311	0.2765323	0.993212	0.00522057	0.00156726	6.821357e-05
32600	-716.8089	-699.3914	-17.4175	0.2961291	0.993585	0.000964438	0.00545033	0.08280695
32800	-713.0084	-695.899	-17.10931	0.2877501	0.996666	0.00241722	0.000916592	0.06494776
33000	-714.4788	-696.9565	-17.52232	0.3124174	0.994301	0.00254603	0.00315307	0.07672581
33200	-711.3613	-693.1389	-18.22237	0.3162481	0.994234	0.00285706	0.00290851	0.1316261
33400	-714.1657	-694.9337	-19.23201	0.3065037	0.997414	0.00158383	0.00100247	0.2155527
33600	-710.1402	-692.2028	-17.93742	0.314779	0.996924	0.00233924	0.000736443	0.1108754
33800	-704.9259	-687.9966	-16.92928	0.3165299	0.996123	0.000944715	0.00293256	0.0255905
34000	-712.797	-690.5915	-22.20554	0.2964485	0.990722	0.00765487	0.00162284	0.4554219
34200	-707.514	-690.497	-17.01699	0.318095	0.990717	0.00861655	0.000666453	0.03222283
34400	-711.9306	-693.5881	-18.34253	0.3173435	0.997724	0.00179145	0.000484302	0.1421583
34600	-718.3912	-699.3469	-19.04432	0.3115868	0.995213	0.000763832	0.00402285	0.1964639
34800	-715.0871	-696.6807	-18.40645	0.3165251	0.998223	0.00107752	0.000699914	0.1466066
35000	-712.0236	-694.3922	-17.63143	0.2872551	0.998564	0.000443887	0.000992486	0.1086264
35200	-709.6134	-693.1868	-16.42662	0.2673525	0.996826	0.00170657	0.0014676	0.02453947
35400	-721.0277	-704.1123	-16.91531	0.3150583	0.99031	0.00648685	0.00320295	0.02655751
35600	-708.3795	-691.8573	-16.52214	0.2995551	0.997995	0.00178374	0.000221613	0.00627246
35800	-712.1706	-694.8209	-17.34969	0.2975888	0.99458	0.00106221	0.00435788	0.07712588
36000	-711.9373	-695.0495	-16.88776	0.2669744	0.994166	0.00574488	8.88663e-05	0.06142763
36200	-708.4942	-691.7053	-16.7889	0.3063478	0.990659	0.000231419	0.00910952	0.0221655
36400	-714.8513	-697.4432	-17.4081	0.3357893	0.989709	0.00951147	0.000779261	0.04877291
36600	-714.0582	-697.0519	-17.00623	0.3111491	0.986136	0.010429	0.00343542	0.03627517
36800	-711.4384	-694.4269	-17.01141	0.3026053	0.99232	0.00401601	0.00366409	0.04326518
37000	-703.0493	-686.1419	-16.9074	0.3009475	0.996488	0.00315125	0.000360555	0.03623627
37200	-709.2518	-691.565	-17.68676	0.3057334	0.994617	0.00220037	0.00318273	0.09488383
37400	-710.6357	-693.938	-16.6976	0.2939333	0.998271	0.00140961	0.000318992	0.02496336
37600	-710.1499	-693.6725	-16.47739	0.2937596	0.99507	0.00287539	0.00205508	0.007534167
37800	-709.3378	-692.537	-16.80074	0.3011975	0.993413	0.00217093	0.00441606	0.02756063
