Iteration	Posterior	Likelihood	Prior	branch_rates	q[1]	q[2]	q[3]	speciation_rate
20000	-650.1046	-633.3469	-16.75775	0.2720852	0.997437	0.00175289	0.000809685	0.04778561
20200	-656.2849	-638.4528	-17.83208	0.3177116	0.983308	0.0152811	0.00141104	0.100612
20400	-647.9009	-630.5873	-17.31366	0.2905198	0.996222	1.33432e-05	0.0037643	0.07755462
20600	-651.9166	-633.7968	-18.11981	0.3447553	0.983414	0.0111148	0.00547098	0.1009326
20800	-651.5282	-634.1466	-17.38165	0.3263505	0.997467	0.00192129	0.00061182	0.05488951
21000	-646.1136	-629.6899	-16.4237	0.2823042	0.993856	0.00319982	0.00294372	0.01238401
21200	-644.7674	-627.7237	-17.04377	0.3147962	0.994905	0.00292	0.00217455	0.03708876
21400	-644.5147	-627.7166	-16.79806	0.2861507	0.997504	0.000212558	0.00228304	0.03926838
21600	-660.8109	-642.6298	-18.18108	0.3131192	0.990065	0.00959425	0.000340383	0.1301271
21800	-651.0803	-634.0396	-17.0407	0.3306576	0.996822	0.00290611	0.000271657	0.02404467
22000	-653.5444	-636.4462	-17.09814	0.3395205	0.994721	0.00255986	0.00271868	0.02090672
22200	-647.5619	-630.306	-17.25596	0.3086309	0.993201	0.00585384	0.000944938	0.06108142
22400	-655.3042	-636.2007	-19.10354	0.3536114	0.986631	0.0103764	0.00299306	0.1779561
22600	-649.6105	-632.4698	-17.14076	0.2893475	0.992666	0.00411173	0.00322213	0.06476893
22800	-650.4957	-631.7505	-18.74515	0.3286474	0.991929	0.00422908	0.00384199	0.1614202
23000	-646.5743	-629.5789	-16.99537	0.3261635	0.999108	0.000407716	0.00048399	0.02327435
23200	-655.9483	-637.3664	-18.58181	0.3526507	0.990504	0.00384295	0.00565297	0.1345439
23400	-647.5111	-629.5552	-17.95582	0.3345117	0.990851	0.00329034	0.00585849	0.0950709
23600	-646.7123	-629.4862	-17.22606	0.3250376	0.980883	0.0151098	0.00400693	0.0429911
23800	-659.4826	-640.9501	-18.53252	0.2894465	0.987615	0.00715401	0.0052313	0.174835
24000	-649.1094	-632.5276	-16.58184	0.2969218	0.995986	0.00116286	0.00285102	0.01354655
24200	-656.7966	-639.9256	-16.87095	0.3329099	0.975826	0.0199817	0.00419276	0.007588659
24400	-656.9981	-640.121	-16.87716	0.3254431	0.985957	0.0106959	0.0033466	0.01470824
24600	-658.2226	-641.108	-17.11467	0.3080038	0.978909	0.0202724	0.00081877	0.04772711
24800	-649.7523	-633.0434	-16.70888	0.3111072	0.998048	0.000100403	0.00185144	0.01207378
25000	-652.2459	-631.4288	-20.81711	0.3042123	0.998149	0.00164496	0.000206516	0.3384664
25200	-651.6226	-633.9929	-17.62973	0.3649028	0.992571	0.00680265	0.000626835	0.04584518
25400	-646.7987	-629.8813	-16.91743	0.3011505	0.991171	0.00173606	0.00709296	0.03707506
25600	-651.1854	-634.2071	-16.97831	0.3226152	0.990605	0.00114492	0.0082496	0.02481322
25800	-648.3746	-631.7682	-16.60641	0.3102874	0.991075	0.00642212	0.00250288	0.00476608
26000	-650.6801	-634.1261	-16.55401	0.2898221	0.994554	0.000165514	0.00528089	0.01690927
26200	-652.0982	-632.6989	-19.39935	0.3449524	0.997898	0.00143325	0.00066888	0.2048626
26400	-649.8672	-632.5389	-17.32829	0.3043477	0.998737	0.000878641	0.000384	0.06695267
26600	-650.1749	-633.3908	-16.7841	0.3198658	0.99541	0.000614279	0.00397595	0.01095484
26800	-649.9773	-632.6638	-17.31354	0.3081335	0.991065	0.00431061	0.00462411	0.06364123
27000	-654.7285	-634.7239	-20.00461	0.3297743	0.995326	0.00328518	0.00138857	0.2737642
27200	-648.5536	-631.9905	-16.56316	0.2987032	0.996573	0.00312399	0.000302698	0.01048162
27400	-651.5104	-634.59	-16.92034	0.3350289	0.990784	0.00597343	0.00324291	0.01033346
27600	-650.1084	-633.3883	-16.7201	0.3054531	0.991375	0.00492613	0.00369935	0.01756743
27800	-653.1523	-634.9412	-18.2111	0.3342718	0.998316	0.000140615	0.00154386	0.1152728
28000	-652.8996	-636.2318	-16.66782	0.287722	0.994175	0.00485317	0.000971728	0.02717579
28200	-652.0096	-635.2894	-16.72023	0.3167131	0.9936	0.00586388	0.000535861	0.008563046
28400	-654.6753	-636.8527	-17.82261	0.3246276	0.980618	0.00303511	0.0163468	0.09031469
28600	-661.4439	-641.461	-19.98289	0.3001571	0.984539	0.0142495	0.0012111	0.2906001
28800	-655.2022	-636.8994	-18.30273	0.2991527	0.983564	0.0154498	0.000985718	0.15082
29000	-650.9944	-634.4759	-16.51854	0.3012698	0.996881	0.00207616	0.0010426	0.00487763
29200	-652.597	-634.3087	-18.28834	0.2884608	0.997956	0.0009912	0.00105322	0.1560986
29400	-656.4435	-639.7298	-16.71367	0.3197401	0.996571	0.00302995	0.000399098	0.005894931
29600	-654.6735	-637.5485	-17.12504	0.3494452	0.983819	0.00633964	0.00984092	0.01522765
29800	-652.1715	-634.9277	-17.24383	0.317933	0.986571	0.00425176	0.00917706	0.04975031
30000	-647.4732	-630.7347	-16.73846	0.3177332	0.998341	0.000510943	0.0011478	0.009357159
30200	-649.1257	-632.7891	-16.33662	0.2847877	0.994852	0.00294152	0.00220623	0.003446318
30400	-650.7915	-632.1318	-18.65964	0.3154638	0.993237	0.00316705	0.00359575	0.16488
30600	-651.6051	-635.0348	-16.57029	0.2766887	0.994298	0.00214207	0.00355962	0.02878689
30800	-650.1822	-633.4698	-16.71246	0.3163919	0.994903	0.00320564	0.00189174	0.008285371
31000	-654.793	-637.5321	-17.26097	0.3084444	0.989472	0.000648135	0.00988031	0.05894047
31200	-649.7224	-632.3375	-17.38487	0.3205212	0.996958	0.0018017	0.00124042	0.05889536
31400	-647.8876	-630.5359	-17.35164	0.3301413	0.998629	0.000228022	0.00114296	0.04804134
31600	-654.637	-636.1418	-18.49523	0.3168877	0.984755	0.0122077	0.00303741	0.1516741
31800	-650.2693	-633.8512	-16.41804	0.2875025	0.994696	0.00489419	0.000409943	0.00772438
32000	-652.0693	-633.3552	-18.71404	0.336715	0.995168	0.00340364	0.00142812	0.1543361
32200	-647.3717	-629.685	-17.68673	0.2902104	0.997065	0.000831987	0.00210342	0.1078048
