Iteration	Posterior	Likelihood	Prior	branch_rates	q[1]	q[2]	q[3]	root_freq[1]	root_freq[2]	root_freq[3]	root_freq[4]	speciation_rate
15800	-298.5116	-270.7932	-27.71839	3.041415	0.123509	0.297739	0.578752	0.293198	0.320497	0.193152	0.193152	0.04074838
16000	-298.2674	-272.8209	-25.4465	2.833215	0.121263	0.281243	0.597494	0.301269	0.32354	0.187595	0.187595	0.02143311
16200	-300.6159	-274.2505	-26.3654	2.694995	0.140447	0.36538	0.494174	0.277658	0.313956	0.204193	0.204193	0.2537869
16400	-302.9171	-274.7801	-28.13703	2.818908	0.105677	0.26671	0.627613	0.283782	0.316642	0.199788	0.199788	0.2968728
16600	-301.2023	-272.0061	-29.19614	3.077248	0.14529	0.447765	0.406945	0.244986	0.29714	0.228937	0.228937	0.1515157
16800	-299.6658	-273.7176	-25.94822	2.861089	0.125369	0.447737	0.426894	0.218753	0.280451	0.250398	0.250398	0.04443953
17000	-299.8373	-269.9409	-29.89644	3.28962	0.154667	0.351196	0.494137	0.305749	0.325126	0.184562	0.184562	0.009846721
17200	-300.0616	-273.7379	-26.32374	2.778287	0.140639	0.317422	0.541938	0.307032	0.325567	0.183701	0.183701	0.1594825
17400	-298.7131	-274.8187	-23.89442	2.681852	0.121197	0.292196	0.586607	0.293176	0.320488	0.193168	0.193168	0.01738379
17600	-303.3801	-273.3111	-30.06899	3.04264	0.0997152	0.322974	0.577311	0.235907	0.291696	0.236199	0.236199	0.2677625
17800	-297.8487	-273.5158	-24.33295	2.740007	0.152956	0.375573	0.471471	0.289399	0.318982	0.19581	0.19581	0.003360418
18000	-301.4349	-272.4676	-28.96731	3.035242	0.165149	0.298078	0.536773	0.356518	0.338238	0.152622	0.152622	0.1676016
18200	-301.7665	-279.2628	-22.50374	2.431768	0.149014	0.491792	0.359194	0.232541	0.28959	0.238934	0.238934	0.1250656
18400	-302.6619	-273.5572	-29.10463	2.878245	0.129328	0.257994	0.612678	0.333904	0.333475	0.16631	0.16631	0.3339752
18600	-300.3929	-269.6147	-30.7782	3.262151	0.11112	0.257026	0.631855	0.301836	0.323744	0.18721	0.18721	0.1229821
18800	-297.8032	-273.6799	-24.12328	2.712002	0.135495	0.362327	0.502179	0.272176	0.311429	0.208198	0.208198	0.01036887
19000	-299.1623	-271.1167	-28.04564	3.095154	0.127596	0.283572	0.588832	0.310325	0.326672	0.181501	0.181501	0.01895143
19200	-299.5922	-278.4357	-21.1565	2.420214	0.131603	0.403927	0.464469	0.245744	0.297579	0.228338	0.228338	0.005427016
