Iteration	Posterior	Likelihood	Prior	branch_rates	root_freq[1]	root_freq[2]	root_freq[3]	root_freq[4]	speciation_rate
22800	-295.4207	-282.39	-13.0307	1.69539	0.0673356	0.383408	0.265061	0.284196	0.02641974
23000	-289.2731	-281.908	-7.365119	1.154492	0.0105385	0.00791992	0.387747	0.593795	0.001925077
23200	-290.2934	-280.8836	-9.409812	1.312525	0.0526173	0.0169118	0.748911	0.18156	0.04656571
23400	-294.6325	-286.332	-8.300575	1.222863	0.00102123	0.0722511	0.818667	0.10806	0.02492601
23600	-293.1126	-282.4867	-10.62588	1.218778	0.0285175	0.058522	0.255449	0.657511	0.2481866
23800	-291.1753	-279.1539	-12.02145	1.440826	0.02852	0.0167173	0.157186	0.797577	0.1738057
24000	-297.9345	-280.3383	-17.59616	1.885656	0.014595	0.0888283	0.747904	0.148673	0.2757536
24200	-291.044	-281.8877	-9.156224	1.292347	0.0063468	0.0681129	0.30903	0.61651	0.04255215
24400	-290.0916	-279.5493	-10.54232	1.405947	0.0036903	0.0541274	0.76813	0.174053	0.06391932
24600	-291.7168	-281.1924	-10.52438	1.445915	0.03278	0.172444	0.51936	0.275416	0.02518169
24800	-291.4044	-282.0722	-9.332214	1.313053	0.00766764	0.030211	0.0138186	0.948303	0.03897301
25000	-292.9505	-280.5866	-12.36383	1.611459	0.0805387	0.0716654	0.695739	0.152056	0.04397507
25200	-289.9653	-280.9547	-9.010586	1.254387	0.0381373	0.015515	0.303721	0.642627	0.06381281
25400	-289.706	-279.089	-10.617	1.451456	0.0244227	0.00847569	0.810929	0.156172	0.02959214
25600	-290.5098	-278.5365	-11.97337	1.56309	0.0262867	0.0591071	0.0562602	0.858346	0.05216119
25800	-290.9307	-281.4129	-9.517841	1.349416	0.049524	0.126639	0.4159	0.407937	0.02144167
26000	-293.2685	-279.2063	-14.06218	1.578739	0.0346028	0.00537555	0.859252	0.100769	0.239158
26200	-290.4193	-281.4882	-8.93105	1.283262	0.00171324	0.143825	0.294437	0.560025	0.02837661
26400	-291.831	-284.534	-7.29703	1.128633	0.0099402	0.204301	0.276792	0.508967	0.0198731
26600	-294.1683	-283.2544	-10.91396	1.403809	0.0966901	0.174123	0.27812	0.451066	0.1026839
26800	-290.7449	-278.9211	-11.82374	1.390501	0.00342964	0.00701025	0.586809	0.402751	0.2047889
27000	-293.1597	-281.489	-11.67067	1.464718	0.110437	0.0233603	0.732266	0.133937	0.1201977
27200	-291.0895	-278.9667	-12.12281	1.507082	0.0336066	0.0703361	0.870239	0.0258182	0.1192089
27400	-291.2396	-280.375	-10.86461	1.342271	0.0105521	0.0818139	0.199125	0.708509	0.1558972
27600	-289.4355	-279.5304	-9.905037	1.302463	0.000716466	0.00436073	0.716709	0.278214	0.1014043
27800	-292.2373	-277.5231	-14.71419	1.829607	0.0132473	0.0150773	0.277441	0.694235	0.05950285
28000	-298.4465	-283.0932	-15.35335	1.826661	0.078926	0.527186	0.147669	0.246219	0.1263687
28200	-292.3208	-279.5491	-12.77165	1.635388	0.0482216	0.0319167	0.896589	0.0232731	0.05851975
28400	-294.5204	-283.2302	-11.29013	1.513683	0.110301	0.0709902	0.380604	0.438105	0.03499956
28600	-293.4341	-278.4059	-15.02822	1.68212	0.00485077	0.0888072	0.345453	0.560889	0.2341138
28800	-289.6002	-282.2302	-7.36996	1.132712	0.0275895	0.00831926	0.340956	0.623135	0.02290373
29000	-293.934	-279.7984	-14.13559	1.724032	0.064341	0.13014	0.326983	0.478537	0.1053698
29200	-292.5764	-279.3396	-13.23678	1.53565	0.0247691	0.0489378	0.223342	0.702951	0.2019451
29400	-291.1283	-278.1742	-12.95412	1.583925	0.0123097	0.036495	0.0539084	0.897287	0.1286295
29600	-295.6052	-284.7692	-10.83605	1.477223	0.0129362	0.00646667	0.362218	0.61838	0.02455545
29800	-291.4977	-279.055	-12.4427	1.612507	0.0255722	0.113556	0.0091268	0.851745	0.0500298
30000	-293.0506	-280.2119	-12.83877	1.258546	0.0272257	0.0149509	0.399057	0.558766	0.4195713
30200	-292.0405	-277.8955	-14.14502	1.663812	0.018659	0.0229246	0.328703	0.629714	0.1666834
30400	-295.0768	-279.5406	-15.53626	1.848397	0.0363563	0.113869	0.385303	0.464472	0.118396
