Iteration	Posterior	Likelihood	Prior	branch_rates	q[1]	q[2]	q[3]	speciation_rate
18400	-293.5099	-272.9197	-20.59013	2.26994	0.192372	0.0247682	0.78286	0.09685516
18600	-293.9989	-276.5819	-17.417	1.962494	0.201374	0.0320469	0.766579	0.08679802
18800	-299.2477	-282.6795	-16.56827	1.671698	0.216325	0.0220645	0.76161	0.2884417
19000	-292.5159	-278.6113	-13.90457	1.653666	0.239952	0.0167229	0.743325	0.04527858
19200	-294.9732	-276.5765	-18.39669	2.124058	0.187057	0.0723214	0.740622	0.02522898
19400	-297.5388	-268.1607	-29.37809	3.217106	0.126499	0.320568	0.552934	0.03086331
19600	-295.8129	-280.2283	-15.58465	1.838159	0.214892	0.0789023	0.706206	0.02945924
19800	-297.5981	-279.6107	-17.9874	2.061244	0.235223	0.167318	0.597458	0.04602646
20000	-296.8403	-273.0161	-23.8242	2.627679	0.173977	0.261409	0.564614	0.06402327
20200	-295.9281	-276.36	-19.56816	2.189198	0.248642	0.0278506	0.723508	0.0757403
20400	-299.0347	-281.6409	-17.3938	1.886602	0.172941	0.0944002	0.732658	0.1573281
20600	-295.8717	-279.845	-16.02677	1.732358	0.24573	0.0157031	0.738567	0.1730574
20800	-291.919	-277.0083	-14.91073	1.79514	0.229035	0.0119444	0.759021	0.00582167
21000	-295.8839	-285.3339	-10.54997	1.352929	0.274576	0.0460456	0.679378	0.0115493
21200	-291.88	-272.6841	-19.1959	2.199274	0.182837	0.0149439	0.802219	0.02960494
21400	-299.6574	-285.9509	-13.70652	1.607903	0.277661	0.028216	0.694123	0.06863008
21600	-294.8566	-276.1375	-18.71902	2.012009	0.191788	0.0238824	0.784329	0.1661446
21800	-294.0073	-277.6169	-16.39048	1.828808	0.254575	0.00523025	0.740195	0.116015
22000	-294.8051	-267.6331	-27.17205	3.025763	0.147066	0.00433931	0.848595	0.001509083
22200	-292.1967	-276.298	-15.89869	1.818235	0.23164	0.00450343	0.763857	0.07937289
22400	-294.2171	-273.8981	-20.31903	2.318082	0.157707	0.000766925	0.841526	0.02332996
22600	-299.7624	-275.435	-24.32739	2.574565	0.152097	0.165536	0.682366	0.1648008
22800	-293.0886	-275.97	-17.11864	1.927152	0.195178	0.0302529	0.774569	0.09131017
23000	-293.9709	-274.4309	-19.54	2.19655	0.197747	0.0259741	0.776279	0.06577327
23200	-291.557	-275.803	-15.75397	1.837994	0.224426	0.00788295	0.767691	0.04594073
23400	-298.6988	-279.9655	-18.73331	1.972729	0.282759	0.0083979	0.708843	0.2077805
23600	-292.628	-275.8563	-16.77175	1.937236	0.190756	0.0129311	0.796313	0.04876184
23800	-291.8109	-277.9599	-13.851	1.664088	0.222711	0.000481206	0.776808	0.0297503
24000	-295.3744	-275.1893	-20.18508	2.063752	0.20534	0.0311332	0.763527	0.2570567
24200	-292.9923	-277.1057	-15.8866	1.816877	0.199562	0.0118436	0.788594	0.07962346
24400	-293.116	-276.3242	-16.79175	1.95862	0.226049	0.0312677	0.742683	0.0299545
24600	-294.4397	-278.7381	-15.70158	1.754957	0.206168	0.0277222	0.76611	0.1201233
24800	-294.5306	-280.9975	-13.53302	1.616516	0.267402	0.0192801	0.713318	0.04563544
25000	-292.6975	-275.5658	-17.13171	1.983776	0.242839	0.00822349	0.748937	0.03825052
25200	-294.2989	-278.7251	-15.57383	1.657788	0.230809	0.0209419	0.748249	0.202421
25400	-299.6912	-270.9132	-28.77794	3.00734	0.117222	0.230375	0.652402	0.1765342
25600	-292.9729	-274.6535	-18.31938	2.130156	0.193228	0.0313767	0.775396	0.01147716
25800	-295.7617	-277.8341	-17.92758	1.946634	0.184398	0.0117572	0.803844	0.1533567
26000	-292.4697	-276.2724	-16.19725	1.846809	0.246511	0.00863888	0.744851	0.08038827
26200	-299.3578	-284.4574	-14.90041	1.678266	0.276608	0.0340131	0.689379	0.1209762
26400	-295.0713	-280.7836	-14.2877	1.666812	0.260625	0.0202297	0.719145	0.07068616
26600	-296.89	-274.5911	-22.29889	2.304552	0.181002	0.00668445	0.812314	0.233065
26800	-293.414	-277.1153	-16.29871	1.916209	0.189144	0.0241033	0.786752	0.02319254
27000	-295.4613	-277.1294	-18.33183	2.107446	0.23746	0.0378529	0.724687	0.03536663
27200	-295.5597	-275.158	-20.40172	2.239393	0.172936	0.0737877	0.753276	0.1068338
27400	-298.1629	-270.1765	-27.98641	3.038261	0.123945	0.247694	0.62836	0.07095696
27600	-294.0328	-280.8	-13.23279	1.622793	0.224713	0.0201786	0.755108	0.01021456
27800	-303.7198	-289.348	-14.37176	1.7361	0.323001	0.0474038	0.629595	0.01088785
28000	-294.8581	-274.2319	-20.62621	2.355373	0.14455	0.0285702	0.82688	0.01681058
28200	-297.4057	-271.7441	-25.66161	2.800709	0.166975	0.298325	0.5347	0.07411834
28400	-296.1427	-279.9518	-16.19092	1.758714	0.218288	0.0359421	0.74577	0.1652222
28600	-294.3315	-278.453	-15.87856	1.760315	0.20264	0.00582678	0.791533	0.1324938
28800	-294.8706	-277.9391	-16.9315	1.99969	0.172765	0.0837023	0.743533	0.003454366
29000	-296.8351	-275.4114	-21.42378	2.28581	0.228285	0.0450848	0.72663	0.163916
29200	-292.6602	-278.7984	-13.86182	1.665788	0.218606	0.0238916	0.757502	0.02939981
29400	-293.9249	-274.1775	-19.74739	2.136549	0.214096	0.0259614	0.759942	0.1432883
29600	-294.0027	-275.4252	-18.57748	2.042107	0.206738	0.0148886	0.778374	0.1211263
29800	-298.9044	-280.6142	-18.29022	2.118355	0.207833	0.300789	0.491379	0.01990378
30000	-297.8193	-278.1169	-19.70236	2.201953	0.24006	0.0960607	0.663879	0.07712543
30200	-295.7394	-272.0286	-23.71084	2.621753	0.183456	0.04924	0.767304	0.05860085
30400	-295.3569	-276.3751	-18.98176	2.088389	0.188613	0.043661	0.767726	0.1162728
30600	-294.2967	-275.3989	-18.89771	2.076406	0.164833	0.0191206	0.816046	0.1197479
30800	-293.6116	-280.3699	-13.24168	1.541797	0.273818	0.00156132	0.724621	0.08932336
31000	-298.2546	-280.5149	-17.73971	1.80693	0.233773	0.00331771	0.762909	0.2651304
31200	-293.0779	-278.7414	-14.33647	1.735248	0.196146	0.0036803	0.800174	0.008213756
31400	-293.1297	-278.7677	-14.36198	1.733652	0.183472	0.0104982	0.80603	0.01218563
31600	-297.4983	-280.3688	-17.12952	1.95634	0.175466	0.0976867	0.726848	0.06384803
31800	-294.8537	-279.7549	-15.09878	1.594022	0.241569	0.0170582	0.741373	0.2186316
32000	-293.7482	-274.4726	-19.27561	2.199072	0.18033	0.0435196	0.776151	0.03780432
32200	-296.5128	-278.0803	-18.43253	2.07241	0.212699	0.125557	0.661744	0.07823796
32400	-295.4212	-278.4424	-16.97875	1.942029	0.244999	0.0874918	0.667509	0.06389183
32600	-296.1999	-279.2314	-16.96843	1.894086	0.195679	0.0434414	0.760879	0.109126
32800	-294.9424	-274.7719	-20.17054	2.288518	0.153045	0.0291776	0.817777	0.03779846
33000	-296.1548	-273.54	-22.61477	2.460364	0.169002	0.0938537	0.737144	0.1088403
33200	-292.0889	-276.3401	-15.7488	1.881761	0.245352	0.0092646	0.745383	0.003117988
33400	-295.852	-280.9425	-14.9095	1.564382	0.251059	0.0190161	0.729925	0.225388
33600	-295.7563	-276.0257	-19.73052	1.8216	0.216219	0.00752718	0.776254	0.4423341
